Student_ID,BSLS_mean_1,Exam_1,Professor,ASP_mean_1
Student 1,3,85.6,Channing,4.857142857
Student 2,4,88,Channing,5.285714286
Student 3,2.333333333,96,Channing,5.714285714
Student 4,3.666666667,99.5,Channing,6.285714286
Student 5,2.333333333,53.75,Channing,4
Student 6,3,97.25,Channing,6.285714286
Student 7,3, ,Channing,6.142857143
Student 8,3,89.5,Han,5.857142857
Student 9,3,84,Han,6
Student 10,4,89.4,Han,6.571428571
Student 11,2.666666667,95.6,Han,6.714285714
Student 12,2.333333333,90.4,Han,4.285714286
Student 13,3.333333333,90.2,Han,4.857142857
Student 14,3.666666667,60.7,Han,5.142857143
Student 15,2.333333333,96,Thompson,5.285714286
Student 16,2.333333333,72,Thompson,6.285714286
Student 17,4,78,Thompson,5.571428571
Student 18,3,100,Thompson,6.142857143
Student 19,2.666666667,35,Thompson,5
Student 20,3,95,Thompson,5.857142857
Student 21,2,92,Thompson,4.428571429
Student 22,3,48.5,Thompson,5.428571429
Student 23,4,60,Thompson,6.428571429
Student 24,3.333333333,102.5,Thompson,6.142857143
Student 25,2,64,Thompson,2.714285714
Student 26,3.333333333,104,Thompson,6.142857143
Student 27,3.333333333,101,Thompson,5.857142857
Student 28,3,93,Thompson,5.285714286
Student 29,2.666666667,85,Zachary,5.428571429
Student 30,4,83.6,Zachary,7
Student 31,3,86.5,Zachary,4
Student 32,2.333333333,97.5,Zachary,5.428571429
Student 33,2.666666667,54.7,Zachary,6.285714286
Student 34,2.666666667,95.7,Zachary,4.714285714
Student 35,2.333333333,88.5,Zachary,4.428571429
Student 36,3.333333333,77.1,Zachary,6.142857143
Student 37,3,94.5,Zachary,6.142857143
Student 38,2.666666667,68.5,Zachary,5.714285714
Student 39,2.333333333,98.2,Zachary,5.285714286
Student 40,2.333333333,96.5,Zachary,5.714285714
Student 41,2.333333333,74.3,Zachary,4.714285714
Student 42,4,97.5,Zachary,5
